Title, Coverage Text Only
CHATROOM,
City Island ,
"Disappearance of Alice Creed, The",
Footnote,
inferno,"LOGLINE – 
 A bio of LINDA LOVELACE, the troubled star of the seminal 70s porno flick DEEP THROAT. 
 
COMMENTS 
It’s a pretty interesting story; excruciatingly violent and explicitly sexual… the sexuality is quite troubling, featuring imagery of rape, violent abusive sex and nearly a scene including bestiality.  The DEEP THROAT sequence is the only part of LOVELACE’s life that had any public recognition and I was definitely intrigued by quite how terrible her life was, but it didn’t seem unbelievably unique to me. It’s a true story, but as a film it seemed to cover angles I’ve seen before in stronger films.  Its from the director of the Sundance Movie HOWL; who’s film I havent’ seen.  I don’t like the title or the religious angle either; for most of the movie, LINDA just seems naïve and innocent and for me, didn’t try hard enough to escape (I feel guilty even writing that!)   Could be controversial and interesting for arthouse audiences; for me was just a bit lacking. 
 
SUMMARY 
LINDA BOREMAN, a religious, a beautiful, teen girl gets into a terrible car accident. In VO, she explains that after the accident, “everything changed for me. The way I saw me, and the world and everything in it.” 
 
LINDA meets and falls for a sexy Marlboro Man type named CHUCK TRAYNOR. He’s flashy and cool, but their whirlwind romance goes bad quickly. Shortly after they get marriage she realizes that he’s basically a pimp, and to make matters worse, he starts badly beating her and forcing her to have sex with strange men for money.  She tries twice to escape, turning to another hooker first, and finally to her parents, but CHUCK’s power over her seems insurmountable. 
 
CHUCK introduces LINDA to a porno director GERARD, who talks them into putting her into a movie called DEEP THROAT.  Everyone is blow away by Linda’s performance but CHUCK starts to get jealous and badly beats her within earshot of the crew.  LINDA meekly explains that she fell down. “I’m klutzy.” 
 
The film is a massive hit and makes LINDA a celebrity. CHUCK is along for the ride. At the playboy mansion, she meets HEF but is humiliated when CHUCK tries to force her to have sex with a German Shephard in front of everyone.  
 
LINDA finally leaves CHUCK after he explodes on the set of one of her films.  She takes up with a seemingly nice old man named RONNY SUMMERS and they have a wonderful few months together, but he eventually snaps. He slaps her and starts bossing her around and LINDA explodes, beating him nearly to death.  
 
LINDA quits the business and writes a book about her ordeal, explaining that the Lord helped her escape the life. She becomes an advocate for abolishing porn.   She dies in 2002 after an SUV accident.
"
"jerusalem, i love you",
Mother & Child,
"rio, i love you",
"shanghai, i love you",
Tamara Drewe,
All That I Love (Wszystko co kocham) ,
Approved for Adoption ,
"Belgrade Phantom, The (Beogradski Fantom) ",
DOMAINE ,
FROM BEGINNING TO END ,
GARIMPEIRO ,
Gigola,
"House of Branching Love, The (Haarautuvan rakkauden talo)",
Men on the bridge,
"Mine (Mine, de fil en aiguille) ",
OPEN SKY ,
Severn’s Children (Les Enfants de Severn),
Two in the Wave (Deux de la Vague) The untold history of the new wave,
"A Woman, a Gun, and a Noodle Shop (Competition)",
afterwards,"WILD BUNCH

TITLE: Afterwards
DIRECTOR: Gilles Bourdos
WRITER: Bourdos, Michael Spinoza (adaptation); Guillaume Musso (novel)
CAST: John Malkovich, Romain Duris, Evangeline Lilly
STATUS: Filming
GENRE: Psychological Thriller
READER: Rob Ruminski / Comments by Steven Murphy

LOGLINE – A man faces his past and his own mortality when a mysterious doctor enters his life, claiming to have the ability to foresee death.

COMMENTS

Critical and commercial trends – aka the law of diminishing returns – would suggest that the world no longer has much use for M Night Shyamalan-style suspense-free supernatural “thrillers”, so I’m not sure why anyone thinks that yet another knock-off imitation of the same formula is a good idea, either artistically or commercially.  Utterly average in every way.  PASS

SM COMMENTS – DR. Kay’s mysterious messenger is the most interesting part of this mediocre thriller, and Malkovitch should imbue the role with a significant amount of creepiness, but the story isn’t remarkable. Not a prebuy.


	
SUMMARY

Opens on YOUNG NATHAN and YOUNG CLAIRE (though we don’t know it yet) in Central Park, playing near an icy pond in winter.  Claire falls through, Nathan pulls her out and runs for help, getting hit by a car in the process.  Images of Nathan’s ‘spirit’ floating away in an out-of-body experience segue into voiceovers and images of Young Nathan speaking of his experiences to DR KAY (unidentified, off-screen), which in turn give way to images of ADULT NATHAN – a successful corporate lawyer – and Dr. Kay making their way through the city and to work.
	Early scenes with his assistant establish that Nathan is cutthroat and immersed in his work, separated from CLAIRE, now his wife, and their daughter TRACEY.  Dr Kay comes to visit Nathan at work, posing as a potential client.  The meeting unsettles Nathan, as Kay exhibits a great deal of knowledge about Nathan’s life, making cryptic suggestions about impending doom and offering to help.  Though shaken, Nathan dismisses him as a crackpot.
	Scenes of Kay on his own in the city are marked by strange visions from Kay’s POV, in which light like halos shines around the heads of random people on the street.  We see one of these people die in a freak accident.
	That night, Kay approaches Nathan again, asks him to give a few minutes of his time. Nathan reluctantly agrees, and goes with the older man to a subway platform, where Kay points out a man on the opposite platform and says that the stranger will die in a few moments.  Kay disappears, as Nathan watches the man throw himself in front of a train.
	When Nathan tracks down Kay again and demands answers, Kay claims that he is one of The Messengers, a select few who can see death before it happens.  The duty of a Messenger, claims Kay, is to assist the dying to find some peace in life before they die.  He draws Nathan’s attention to ANNA, a childhood friend from his past, says that she is going to die.  With the information that Kay has given him, Nathan tracks down Anna.
	A waitress and single mother who has fallen on hard times, Anna is shocked but pleased with the sudden reappearance of Nathan in her life.  As their friendship blossoms, tragedy strikes:  after convincing Anna not to attempt to repair some faulty wiring herself, her elderly father dies after attempting to fix it himself.  In spite of the tragedy, Nathan is elated – this means that, contrary to Kay’s assertions, the living can intervene and save the lives of the dying.  Though her father died, Anna was very much alive as the result of Nathan’s intervention.
	Meanwhile, the audience has been shown, through a series of flashbacks, the reason for  Nathan and Claire’s estrangement:  while on a family holiday, their infant son succumbs to Sudden Infant Death Syndrome.  The furious Nathan lashes out at everyone around him, including his wife, who leaves with Tracey, moving across the country to Arizona.
	Back in the present, Nathan continues to try and help Anna, offering to loan her some money to help with the expenses relating to her father’s death.  When they go to the bank to pick up the money, they get caught in the crossfire of a botched robbery.  Anna is killed by a stray bullet.
	Despondent, putting the pieces together, Nathan reaches out to Kay, in the belief that he is about to die.  Kay denies once again that he has any ability to see a specific time of death (the earlier train suicide was an educated guess).
	After much discussion and anguish – including the revelation that Kay was the doctor that he spoke with after his near-death experience as a child – Nathan starts to accept his fate, and heads to Arizona to get his daughter Tracey and bring her back for a visit, as she doesn’t want to fly alone.  Nathan asks Kay to come along for moral support, and to ensure that Nathan isn’t somehow inadvertently putting his daughter into danger.
	Once in Arizona, Nathan decides to stay, attempting to make amends with Claire, and find some closure or resolution in his life.  After waking up in the morning after a night that he was sure would bring his death, Nathan’s surprise and joy are shattered when he sees a halo of light around Claire’s head, exactly fitting Kay’s description of his own visions.  Frantic, he calls Kay, who has secretly skipped his return flight to New York, staying behind – he has known the truth about Nathan all along, and only allowed him to believe in his impending death as a necessary step in the process of realizing his abilities as a Messenger.  Understanding now, Nathan rushes back to Tracey and Claire, a family again, with Nathan promising never to leave Claire’s side.


"
blonde,"COMMENTS: 

(Mirjam) - Very introspective, no humor, very sad, as she was clearly mentally challenged.  It will be a great part for Naomi Watts, even though she is physically completely different.  She is a great actress and can pull it off.  Since it has a bleak tone, it will be less commercial, but still an interesting project for the right price.  This is a Recommend.

(Marc Smit) Very much an introspective script, we see everything from her perspective.  Death looms from the outset and there is no humor whatsoever.  There's heavy use of voice over and real Marilyn Monroe songs.  Becoming an actress is a way for her to feel like she is becoming someone.  She is invested in her characters completely.  There's very little time to enjoy it as she is quickly caught up in the fame.  Films become her only reality, surrounding characters become distant voices.  She is on her own and is slowly drowning.  As the story unfolds she loses grip, and insanity is looming.  It becomes more and more abstract and claustrophobic.  She tries to hang onto herself but the world does not allow it.  Sex with the president is the final stroke.  She kills herself thereafter.  The film has the pace and structure of Jesse James.  Naomi Watts doesn't look like Marilyn or have her figure, but she is a great actress and should be able to capture that essence.  Some of the scenes here reminiscent of Watts performance in Mullholland Drive.

Strong script and great story. but tough proposition.  It will become a good movie, but to what estent the angle on it will attract large crowds is difficult, especially considering Jesse James.  There's a chance for Watts to win an Oscar."
"Blonde with Bare Breasts, THe",
BUNNY & THE BULL,
Bunny and the Bull,"WILD BUNCH

TITLE: Bunny and the Bull 
DIRECTOR: Paul King
WRITER: Paul King (check)
CAST: Edward Hogg, Simon Farnaby, Noel Fielding, Veronica Echeg
STATUS: Post Production
GENRE: Comedy
READER: Steven Murphy

LOGLINE

“A road movie set entirely in a flat.” A young, lazy man, recalls a cross euro trip he took with his best friend BUNNY, vividly remembering their trip while never leaving his apartment.

COMMENTS

An insanely off beat comedy, from the creators of an insanely off beat British TV series, (THE MIGHTY BOOSH), this is not going to appeal to everyone, but the creators have a legion of cult fans and this humor appeals very much to the same fan base.  This story is crazy crazy crazy and there’s a ton of stylistic (self described Michel Gondry type) gimmickry sure to add to the film’s odd ball appeal.  It’s a simple road story told with some innovative quirks, but at its heart it’s a buddy comedy about two guys, a troubled free spirit and his meek, nervous buddy.  Featuring scenes with the lead character getting gored in the penis, an extended scene about fucking dogs, and quite a bit of chatting about a fast food restaurant’s mysterious “vegetarian” option, this will not be palatable to everyone, but I like it and there’s potential cult video fan base, especially if MIGHTY BOOSH has caught on in your territory.  Chances are, this is too strange, and its certainly not going to have the crossover appeal of a Gondry film, but its funny oddball stuff.


SUMMARY

The following tale is told in a variety of styles, recounted by Stephen and  an “imaginary” version of his real life best friend Bunny as they sit in Stephen’s apartment and hallucinate the various scenes.  The restaurant is made of cardboard, the ice field scene takes place in the freezer, etc. 

Flashback - STEPHEN and BUNNY win a bunch of money gambling on a long shot horse. They take the money and use it to fund a rail trip throughout Europe. Stephen over packs and over plans, using guidebooks to map out every moment of their itinery, but the laid back Bunny rebels against the plans almost immediately, enjoying more spur of the moment pleasures (like an orgy in a train) and off the beaten track experiences.  After watching BUNNY score chicks on the train, the recently heart broken Stephen agrees to be more spontaneous, and the two wind up in Poland at a disgusting fast food restaurant, CAPTAIN CRAB, where Bunny, the compulsive gambler, livens the place by starting a crab race.  Bunny and Stephen befriend the waitress ELOISE who has just recently broke it off with her boyfriend and plans to return to her home in Spain.  Bunny and Stephen join her… making great haste in their departure after Bunny loses a bunch of money to some angry drunken locals. 

Bunny admits that he’s broke and needs them to head to his parents house in the alps. Much to Bunny’s surprise and chagrin, his father (uncle?)  MAX and Bunny’s siblings are all there, celebrating Max’s birthday.  Max warns Stephen that Bunny is nothing but a thief, and Bunny proves Max right… despite Stephen’s clear, growing feelings for ELOISA, Bunny sleeps with her. “You don’t mind do you?” and he steals MAX’s golden watch and a humongous stuffed bear.  Eloisa, Stephen and Bunny escape with the bear tied to the roof of their car. 

Eloisa explodes at them and forces them out.  Bunny, Stephen and the bear are lost and alone until they find a weird Viking with a fetish for dog fucking.  The Viking tries to get Stephen to marry one of his dogs, but Bunny wins their escape by swimming to a far off island and winning a bet.  Bunny is reinvigorated and realizes that, just as Max accuses, he’s been a “watcher’ rather than a “do-er” all his life.  He know wants to live the adventures, not just bet on them.  Eloisa returns and brings them to her home town in Spain where Bunny begins training to fight a bull.  Eloisa explains that she is no longer interested in Bunny, and Stephen tries to get together with her, but she gets upset, accusing Stephen of lying to her.  She decides to leave town and return to her studies in Norway. 

On the train home, Stephen takes it out on Bunny and accuses him of being a fraud.  Bunny stops the train, gets out and hops into a ring with a bull.  He performs an amazing bullfight, its so beautiful he winds up in tears.  Stephen, jealous hops into the ring hoping for the same exhilarating experience, but he is quickly gored by the bull.

He wakes up in the hospital and finds out from Max that Bunny got killed saving his life.  Back in his apartment, months after the incident, Stephen and “imaginary bunny” finally realize they must part ways.  Stephen decides to stop loafing around and plans to head to Norway to win back Eloisa.  



"
"Burma Conspiracy, The","LOGLINE
Follow up to the action/adventure film, Largo Winch.

COMMENTS
This script is a fast paced, high-concept action with some great twists, turns and escapes, not to mention a couple of good surprises thrown in.  A total page- turner, quite smart and will likely be well done.  I totally enjoyed the read and imagine that this will do well in territories where the first one worked.

The film cuts back and forth between Asia and Europe with some great characters, traps, double-crossings and fight scenes.  Very creative in a James Bond way.  LARGO himself is trying to be a humanitarian and there is also another human-interest plot line which drives the story.

I highly recommend reading for any territory where a great action might work.  Film will be 65% English with the rest being a mix of Thai, French, etc.

SUMMARY
Following the murder of his adoptive father Nerio, Largo Winch is now CEO of the vast W Group. But the compromises money and power require don't suit Largo. He announces the sale of the Group and the creation of a humanitarian foundation, to be led by his father's oldest friend. 
  
The very day the agreement is signed; Largo is accused of complicity in crimes against humanity. International prosecutor Diane Franken suspects him of having paid off - four years previously, for his father's benefit - notorious Burmese General Kyaw Min, after the displacement of a mineral-rich native village on behalf of the W Group turned into a massacre. And she has a witness. 
  
The witness is no other than Malunaï, the beautiful Burmese villager with whom Largo had an intense love affair four years earlier. Stunned, he determines to discover who is forcing Malunaï to lie, and to solve the mystery of his father's role in the atrocity. When he learns that Malunaï has been deported and is now in the hands of the General, Largo's convinced she will be killed. He arrives in Burma with a highly dangerous plan and time running out. At Makiling Military Camp he will learn Malunaï's incredible secret. And discover that his enemies' plot is even more twisted than he imagined.
"
BURNT BY THE SUN 2 : EXODUS ,
CHANEL COCO & IGOR STRAVINSKY,
citadel - burnt by the sun 3,
"Clink of Ice, The",
"CONCERT, THE",
cool water,
dardenne untitled,
dardenne untitled,
"Distant Neighborhood, a",
"ditch, the",
Dog Pound,
DON'T LOOK BACK,
draquila - italy trembles,
Enter the Void,
Even the Rain,
"Extra Man, The",
"field of enchantment, the",
film Socialism,
Four Lions,
Full Treatment ,
GOEMON,
Habemus Papem,
Happy Few,
HIERRO,
hotaru,
Immaculate,
Kaboom,
karenfan,
"Killer Inside Me, The ",
Leila,
LITTLE NICHOLAS,
looking for eric,
Lope,
love and bruises,
Mamarosh,
MR. NOBODY,
Neds,
NO ONE KNOWS ABOUT PERSIAN CATS,
oceanworld 3D,
Of Gods and Men (Des hommes et des dieux),
ORDINARY pEOPLE,
PARK BENCHES,
POLYTECHNIQUE,
Potiche,
Rabia,
rebecca h. ,
"Revelation of the Pyramids, THe",
Room in Rome,
Route Irish,
Second Chance,
Sound of Noise,
SOUNDTRACK FOR A REVOLUTION,
spring fever,
TALES FROM THE GOLDEN AGE,
terra,"LOGLINE 
Two brothers who have never met go to Chile for their estranged father’s funeral and go on a hunt to find their father’s mysterious lover in order to tell her that he’s passed away. 

MIRJAM COMMENTS 
It's really a journey (road movie) where brothers and grandson learn about their (grand)father and each other along the way. A male-bonding story. Brothers with father. Uncle with nephew, father and son and two brothers.

Nice story. Not earth shattering, and its got a lot of talking, without much insight or progress to the story. It will have to be a mood piece with nice photography. The story is a bit thin, but the pay-off is nice. It remains a very small film. But with Walter Salles
at the helm and for a decent price, this is a must have for Cineart.

SM COMMENTS 
I pretty much agree with Mirjam; the writing is strong and poetic, particularly Octavio’s reflective monologues about nature and Fernando’s glowering angst, even Susan’s fraught melancholy was believable. It was slightly disappointing to me that the most interesting character in the script (PEDRO) never saw a moment of life on screen, and that device worked some times and felt like I was being cheated at other points… I agree it is good for Cineart; its an arthouse movie with a lot of emotion. 

SUMMARY 
Puerto Montt – Chile Chiloe Island

FERNANDO and his son CAIN fly into Chile and head to a small village; OCTAVIO, Fernando’s half brother (same father different mothers) is there already; the two sons have come to reconcile the estate of their deceased father. 

A local young woman, JIMENA, has cared for the body, shaving, cleaning him and dressing PEDRO in a nice suit. 

OCTAVIO discovers “the old man’s diaries.” More than fifty journals detail PEDRO’s life, mostly accounts of his sexual conquests and romances. Pedro may have died penniless, but he lived a life rich with women. His two sons, neither of whom had a significant relationship with him; have split reactions, OCTAVIO is fascinated by the journals and Fernando is completely disinterested. 

A woman calls and leaves a message on Pedro’s answering machine; it’s flirtatious and sexy and references a rendevous that Pedro will now surely miss… the sons are curious and begin asking around town without getting much information.   Octavio finds out that the woman was referred to as “the Argentinian.” 

They find out that Pedro had recently been hospitalized, possibly for self inflicted wounds. 

After the funeral, Jimena sleeps with Fernando; upsetting both Cain and the jealous Octavio. 

The three plan to fly home but the flights are delayed. Octavio decides to hunt for the woman; CAIN talks his father into following along.  During the journey, the two brothers quarrel, but also have moments of jocular fun and playful togetherness… like real brothers. 

Octavio finds out a name of her village in southern Argentina and the three go on a  long bus ride.  On the bus, both brothers read his journals and get to know their father better then they had during his actual time on earth. He talks about his life; his jobs, his women… Fernando is particularly affected by a passage about his birth. 

They find the town where “The Argentinian” is supposed to have lived. In the village they start searching for the woman based on descriptions from Pedro’s journals, and Octavio eventually tracks her down via the post office.  They find out that she’s managing a hotel in the small, southern town. They approach her, dumbfounded and silent; at a loss for words. Finally CAIN talks her into letting them have a room. When they tell her that they’re Pedro’s sons, she knows immediately that he has died. She  falls into mourning almost immediately. 

They find a beached whale and try to help it back into the sea; to no avail. 

Susan tells them that she had tried to commit suicide; and that she once had a husband and young son who died in a car accident.  They all get drunk and she opens up; “that fucking old man was everything to me, a lover, a father, a son, a friend.” 

Fernando admits that his wife wants to leave him, that he has trouble as a father, and that this trip has been “the best thing that has ever happened to him.” 

Their visit inspires Susan to leave, and presumably, get on with her life. Octavio plans to go back to Chiloe to try to start a relationship with Jimena; and Fernando and Cain set off on a journey… “as father and son at last.” 
"
Tetro,
THE GOOD HEART,
"time that remains, the",
"two escobars, the",
Untitled Marilyn Monroe Biopic,
VALHALLA RISING,
We Are What We Are (Somos lo que hay) [CD] ,
WHATEVER WORKS,
WHITE MATERIAL,
"Wild Roses, Tender Roses","LOGLINE
During the Mexican Revolution, General Pancho Villa achieves legendary victories, smashing through enemy strongholds and marrying a girl in every city.  But as time passes and his friends betray him, he struggles to maintain his taste for battle and for love.

COMMENTS
Dense and literary, it is a little too long, but effectively transitions from a picaresque military adventure to a portrait of a career soldier driven by the events around him.  All the characters/historical figures are beautifully drawn and some smaller details/scenes really enhance the emotional value and meaning of the story (e.g., the roses, the shoot-up in the cinema, etc.)  Pancho Villa is a great character, very sympathetic– he is moved by the forces of history, unable to control events despite his efforts.  Feels like a history lesson, could be Che all over again.

SUMMARY
The day after the defeat of the dictator Diaz, PANCHO VILLA is in bed with a fever.  Attempting to marry his nurse, he is interrupted by minions of GENERAL HUERTA.  They arrest him but due to regulations cannot shoot him until he stands.  He remains seated in the face of their taunts until a directive arrives from FRANCISCO MADERO to spare his life and throw him in prison.  In prison, his intellectual cellmate gives him a copy of the Iliad and he escapes, aided by his brother URBINA.  He and his forces take Ciudad Juarez for MADERO, but he is then re-arrested by HUERTA.  HUERTA eventually has MADERO killed and URBINA breaks PANCHO VILLA out of prison yet again.

URBINA has planned a train robbery, but they find coal instead of the expected loads of gold.  With the help of a new recruit, violent station worker RUDY, PANCHO VILLA decides to use the train as a Trojan Horse and successfully takes out an enemy garrison.  URBINA terrorizes captured enemy officers and installs himself and his mother in a large mansion.

PANCHO VILLA leaves off from his attempts at gardening to attack Juarez, scaring off the American spectators across the river with a volley of bullets.  After attacking a second time so the Hollywood film directors can get their shot, PANCHO VILLA leads his forces to liberate a mine operation.  Not long after, he joins the command of FELIPE ANGELES and when GENERAL CARRANZA’s attempt to take Zacatecas fails, ANGELES and PANCHO VILLA’s succeeds.  ANGELES, a former aristocrat, is troubled by the brutality of the battle’s aftermath, but PANCHO VILLA remains stoic.

At a meeting with legendary revolutionary EMILIANO ZAPATA, PANCHO VILLA falls in love with twelve-toed JUANITA, who desires to kill him to revenge her family’s death.  HUERTA flees the country, and URBINA and RUDY urge PANCHO VILLA to take Mexico City before CARRANZA can but it is too late.  Several months later, they succeed and PANCHO VILLA becomes president of Mexico.  JUANITA runs away.

As president, PANCHO VILLA finds it hard to maintain the ideological purity of MADERO and eventually RUDY kills a particularly troublesome and fearless reporter.  PANCHO VILLA’s forces leave the capital to pursue CARRANZA, but while he is gone elements of CARRANZA’s army raze Mexico City and ZAPATA is killed through treachery.  PANCHO VILLA suffers a massive defeat and ANGELES dies.  URBINA betrays PANCHO VILLA and is shot and killed by RUDY.  After weeks of searching, PANCHO VILLA finds JUANITA and brings her with him to an American-backed defeat in Agua Prieta.  The constant warfare has taken its emotional toll, and after a final incursion into New Mexico to settle the score with the U.S., he takes his retirement.

In retirement, PANCHO VILLA tries to avoid politics and get JUANITA to fall in love with him.  JUANITA asks his leave to marry one of his guards and he reluctantly gives it.  At the wedding ceremony, she changes her mind, and PANCHO VILLA rushes to the church to take the groom’s place, but is gunned down and killed at the entrance by government members fearing a resurgence in PANCHO VILLA’s popularity.  His rose bushes finally blossom and smell beautifully.

"
Wind and Dust,
YONA YONA PENGUIN    ,
adrenalist,
wishful drinking,
30 Minutes or Less,
a fish story,
Antar: The Black Knight,
Aronofsky's 'Serena' adaptation,
as if i'm not there,"STILL WITH A PROD CO; will be Optimum in UK 

TITLE: As If I’m Not There
DIRECTOR: No Info
WRITER: Juanita Wilson
CAST: Juanita Wilson
STATUS: Preproduction
GENRE: Drama / Period
READER: Steven Murphy

LOGLINE

A young Bosnian woman becomes a victim of the war when she is taken prisoner by soldiers and repeatedly raped in a female prison. The leader of the Soldiers falls for her and she draws the ire of the other prisoners for receiving special attention. 

COMMENTS

Well written script with very powerful subject matter.  If I’m not mistaken, this is actually highlighting the same topic as the movie STORM except that this one is from a first person perspective inside the female prison.  I don’t know the director or cast info, and that would play a part in the decision, but for the most part, I’d say instinctually I’d shy away from this type of film – do people want to see this sort of thing right now? It would have to be very well done and gain a lot of praise and awards to do good business I think.  Worth tracking, and please let me know the attachment info. 


SUMMARY 

A Bosnian young woman, SAMIRA moves to a small town to teach children who seem inured by the war;  “our teacher is not coming back.” SOLDIERS arrive in the town and rob a woman, taking her jewelry and wedding ring. SOLDIERS pour into the town and despite her protestations, SAMIRA is rounded up with the others. The men are taken away from the group and killed. 

SAMIRA is held captive with other Bosnian women, and they are repeatedly raped and abused by their captors.  SAMIRA is “asked out” by the CAPTAIN of the soldiers.  She spends the night with him, reveling in the food and fresh clean sheets on the bed, but is quickly sent back to her cell. The other women are jealous and angry.  SAMIRA is called back, and sleeps with him again, trying to help the other women by returning with food and some supplies, but they still call her a traitor.

Busses pull up to the camp and the other women are taken away, but Samira is separated from them.  The Captain gives her some crumpled bank notes and allows her to leave, joining the other women as they are rescued from the prison.  The bus drops the women off near a border and they think it’s a trap until more buses come to pick them up.  They are finally free. 

SAMIRA goes to a refugee shelter in Stockholm where she finds out that she is pregnant.  SAMIRA hallucinates spending time with her parents.  Samira wants to get rid of the baby. A Bosnian older woman tries to soothe her anger and pain; “he’s a survivor, just like you.” Reluctantly, SAMIRA decides not to abandon her child. 


"
at swim - two - birds,
at the end of daybreak,"

TITLE: At the End of Daybreak
DIRECTOR:  Ho Yuhang
WRITER: Ho Yuhang
STATUS: Preproduction? 
GENRE: Drama/ Arthouse
READER: Steven Murphy

LOGLINE

A young man in his early twenties falls in love with a teen girl.  When her parents find out the two have been having sex, they begin to threaten and blackmail the young man and his mother. 


COMMENTS

The story builds very slowly and picks up momentum towards the end with a shocking climax and a creepy twist (the mother encouraged the murder) coming in the last ten pages.  Problematically, the characters aren’t developed well. The relationship between TC and YING is brief, their conversations very realistic, but lacking a certain quality – it’s a very existential script that seems too dry on the page. By the time the murders and shocking revelations come around, the script is over, not allowing the audience time to fully digest the tragic events on screen. Interesting, dark story that will be arthouse only, I don’t recommend for prebuy.

SUMMARY

TUCK CHAI, a young man in his early twenties, works in his families shop, lives with his mother (TC MOTHER) and passes the time by riding his beloved motorcycle and killing the rats that infest their home. 

YING, a high school girl, is sixteen years old and struggles with high schools social hierarchy.  She’s only got one friend, WAN, and the two sneer and snicker at the more popular girls, with whom they don’t get along. At home, Ying’s parents are very strict about grade and fear that Ying is exhibiting a lack of ambition and direction.

Tuck Chai and Ying meet on the Internet and arrange a real world rendezvous.  Tuck Chair impresses her by giving her a ride on his motorcycle.  The relationship develops, Ying sneaking around to avoid her parent’s scrutiny.  TC and Ying begin to get more and more physical, until Wan helps Ying obtain birth control pills.

When Ying’s parents find the pills, they are livid.  Ying’s father slaps her in the face.  They contact TC and his mother. The two families’ meet, but the session does not go well.  Ying’s father threatens to charge TC with statutory rape, and Ying’s mother gets so upset that she winds up punching TC in the face.  Ying’s parents forbid her from seeing TC again. They also blackmail TC and his mother, forcing them to ante up a bribe, or face criminal charges.  “They won’t press charges if we raise the money.” 

TC’s mother borrows money from a wealthy uncle and transfers it into Ying’s father’s account, but they double cross her and insist they will still press charges. After several unanswered phone calls, TC finally convinces Ying to see him.  Accompanied by WAN, Ying arrives at TC’s local hang out, where he is relaxing with his buddies MENG and KEAT.  TC and YING walk into the woods to speak alone.  After a brief argument, TC kills her, smashing her head with a stone.  WAN finds the body and screams to KEAT and MENG for help, but they kill her. 

The two boys are arrested.  TC goes into hiding.  Police arrest TC’s Mother and tell her that TC has called them, confessed to the murder and insisted that his mother told him to kill Ying. 
"
"AUTOBIOGRAPHY OF NICOLAE CEAUSESCU, The",
beast of bataan,"SALES AGENT

TITLE: Beast of Batton
DIRECTOR:  
WRITER: 
CAST: 
STATUS: 
GENRE: Drama
READER:  Spence Griffeth

LOGLINE

World War 2 is over and Sergeant Skeen is ready to return home a victorious soldier, but before he can, he is ordered to defend the war criminal known as, the Beast of Battan. As Skeen is forced to question himself and his superiors, he discovers the inherent hypocrisies of war and the responsibilities of both sides.


COMMENTS

Beast of Battan is all story. What I mean by that is that it has the potential for critical acclaim, if done right. As it stands it’s an account of the trial of WW2 war criminal, General Masaharu Homma. Unfortunately, after 11 pages it became obvious that it’s a by the numbers trial feature. The characters are undeveloped and inconsistent (the hero is the least interesting and they all do things completely out of character). The dialogue is unimaginative and out of sync with the time period (heavy handed and the humor misses its mark). The first act drags and doesn’t really get going until half way through. Even with all of the flaws I still felt satisfied with the experience, just wish there had been more. I would only recommend this read for someone who’s willing to rework it.

SUMMARY

On the first night after the Japanese Emperor surrenders to the Allied forces, Skeen dances the night away at a Manila hotel. He tells one of his dance partners, Helen, of how he can’t wait to get back to his wife and newly born daughter. Everyone is in the throws of celebrating the end of a long, hard war.

As Skeen waits to board his transport ship home, he is summoned to the JAG. He reluctantly heads back into Manila. JAG orders Skeen to be in charge of defending the Beast of Battan. He knows that General Masaharu Homma is the war criminal charged with what is known as the Death March to Battan. He protests, arguing that he’s never even tried a case. He gets no more help than a promise that it will be a fast prosecution.

The Army gives Skeen a team of other poor excuses for lawyers. Coder is a hard-core patriot with no respect for anything Japanese. Furness is the oldest, most cynical and most experienced. Pelz is a womanizer as well as the comic relief. None of the group thinks that their client is innocent.

When the lawyers meet their client, they are talent off guard by his gravitas. Homma speaks good English and offers seats to the soldiers. They don’t accept. They explain their orders to defend him and give no words of encouragement. They have all been affected by the obvious humanity of Homma.

The team quickly discovers that they have divided into factions. Skeen and Coder are ready to railroad Homma through the system. Pelz and Furness, though not convinced of his innocents, want to give Homma the best defense possible. They point out that it’s their duty as Americans to treat Homma in accordance with US law. Coder thinks Homma deserves the same treatment as the Americans and Filipinos who were killed on the march. Coder is clearly the most blinded by emotions, so Skeen sends him to Tokyo to gather evidence and witnesses.

The case begins and it’s clear that everyone from General MacArthur on down wants Homma tried and executed as fast as appearances will allow. Pelz and Furness are the only ones who try to do things by the book. As witnesses and affidavits describing various atrocities that occurred while Hossa was in charge. Skeen sees Helen again and finds out that her husband was one of the men who died on the march.

In Tokyo, Coder befriends his Japanese assistant, and finds evidence that Hossa is not the one who gave the orders to kill and torture.

Outside of the courtroom Skeen starts a friendship with Hossa and is eventually convinced that he had nothing to do with the events that happened under his watch.

More condemning evidence is revealed. It seems that the entire world is against them.

The team builds a case, including witnesses and documentation, which proves that Hossa was unaware of what his subordinates were doing and therefore he isn’t responsible. The finale to there case is the testimony of Hossa’s elegant wife. In his closing statement, Skeen pleads with the judges to see that Hossa is an honorable man that just happened to be on the losing team. It all falls on deaf ears.

In the end, Hossa is found guilty. Skeen manages to get him his final wish of having a firing squad instead of a noose. Skeen returns to his family a different man than they knew. 





"
Belle and Bette,
Buck Rogers,
